"ID","subject","prev_word","current_word","response_number","response","rt"
657962337,"386","deer","bear",2,0,"2601"
657962337,"386","bear","dog",3,0,"1570"
657962337,"386","dog","cat",4,0,"1855"
657962337,"386","cat","pigeon",5,1,"1568"
657962337,"386","pigeon","bird",6,0,"1462"
657962337,"386","bird","hamster",7,0,"2802"
657962337,"386","hamster","guinea pig",8,0,"1457"
657962337,"386","guinea pig","turtle",9,0,"1764"
657962337,"386","turtle","frog",10,0,"1292"
657962337,"386","frog","worm",11,1,"1546"
657962337,"386","worm","fish",12,1,"9280"
657962337,"386","fish","trout",13,0,"1435"
657962337,"386","trout","sheep",14,1,"2560"
657962337,"386","sheep","goat",15,0,"8400"
657962337,"386","goat","donkey",16,0,"1525"
657962337,"386","donkey","horse",17,0,"1158"
657962337,"386","horse","cow",18,0,"814"
657962337,"386","cow","ostrich",19,1,"2401"
657962337,"386","ostrich","peacock",20,0,"1200"
657962337,"386","peacock","ground hog",21,1,"1225"
657962337,"386","ground hog","prairie dog",22,0,"1587"
657962337,"386","prairie dog","bison",23,1,"1776"
657962337,"386","bison","buffalo",24,0,"1837"
657962337,"386","buffalo","giraffe",25,1,"1284"
657962337,"386","giraffe","zebra",26,0,"1313"
657962337,"386","zebra","elephant",27,0,"985"
657962337,"386","elephant","monkey",28,0,"4376"
657962337,"386","monkey","alligator",29,0,"16696"
657962337,"386","alligator","crocodile",30,0,"5201"
657962337,"386","crocodile","snake",31,0,"2130"
657962337,"386","snake","spider",32,0,"1460"
657962337,"386","spider","mice",33,0,"1698"
657962337,"386","mice","rat",34,0,"1317"
657962337,"386","rat","bat",35,0,"2373"
657962337,"50002","rabbit","rat",2,1,"6114"
657962337,"50002","rat","mouse",3,0,"1929"
657962337,"50002","mouse","cat",4,1,"2239"
657962337,"50002","cat","dog",5,0,"1195"
657962337,"50002","dog","ant",6,1,"1354"
657962337,"50002","ant","bat",7,1,"1679"
657962337,"50002","bat","beetle",8,1,"2143"
657962337,"50002","beetle","snake",9,1,"1267"
657962337,"50002","snake","lizard",10,0,"1411"
657962337,"50002","lizard","camel",11,1,"1066"
657962337,"50002","camel","sheep",12,0,"1616"
657962337,"50002","sheep","goat",13,0,"1205"
657962337,"50002","goat","bird",14,1,"1625"
657962337,"50002","bird","eagle",15,0,"3813"
657962337,"50002","eagle","hawk",16,0,"1140"
